Mon Mar 23 2026 09:06:08 GMT-0400 (Eastern Daylight Time) - Run Time: 3358ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of origin - tts22_orig
Column: 2022 TTS zone of destination - tts22_dest


Filters:
Regional municipality of household - region_hhld In 6, 
and
Primary travel mode of trip - mode_prime In D, P, T, U, 
and
Start time of trip - start_time In 530 - 2300

Trip 2022
ROW : tts22_orig
COLUMN : tts22_dest
  tts22_orig  tts22_dest      total
        6048        4193          7
        6048        4408        310
        6048        4511         68
        6048        4533         51
        6048        4636         22
        6048        4748         12
        6048        5016          6
        6048        5023         72
        6048        5114         13
        6048        5115         56
        6048        5116          6
        6048        5117         22
        6048        5183         64
        6048        5203         86
        6048        5267          8
        6048        5283         80
        6048        6001         11
        6048        6004         40
        6048        6011         23
        6048        6018         34
        6048        6029         38
        6048        6030          7
        6048        6041        181
        6048        6044        245
        6048        6045        380
        6048        6047        169
        6048        6048        498
        6048        6050        463
        6048        6052         20
        6048        6053        123
        6048        6054        873
        6048        6057         13
        6048        6061        104
        6048        6066        198
        6048        6088          5
        6048        6110         21
        6048        6114         10
        6048        6115         10
        6048        6128         16
        6048        6130         77
        6048        6141         22
        6048        6146         30
        6048        6147         81
        6048        6149         26
        6048        6150         44
        6048        6154        212
        6048        6158         18
        6048        6161          8
        6048        6163         60
        6048        6166         71
        6048        6167         32
        6048        6170        466
        6048        6180         30
        6048        6184         13
        6048        6189         11
        6048        6191        390
        6048        6194         20
        6048        6196         55
        6048        6202         10
        6048        6204         34
        6048        6208         20
        6048        6209         44
        6048        6216        105
        6048        6221         85
        6048        6228         22
        6048        6232        173
        6048        6235         11
        6048        6238         67
        6048        6239         37
        6048        6241         70
        6048        6243        397
        6048        6245          8
        6048        6250        290
        6048        6259         11
        6048       11188         19
        6048       11390          7
        6048       23014          5
        6048       23029         27
        6048       23038         22
        6048       23039         11
        6048       24003         57
        6048       24008          5
        6048       98007        167
        6048       98008         91
        6048       99998         36
        6049        5014         29
        6049        6041         18
        6049        6044          9
        6049        6045         26
        6049        6047         34
        6049        6054         88
        6049        6056         44
        6049        6057         17
        6049        6142         22
        6049        6171         27
        6049        6196         17
        6049        6218         33
        6049        6222         28
        6049       11495         14
        6049       24002         15
        6049       98008         22
        6050        1070          6
        6050        1344         22
        6050        1381         25
        6050        1392          8
        6050        1407          5
        6050        1414         34
        6050        3149         22
        6050        4496          5
        6050        4511         11
        6050        4549         40
        6050        4748         35
        6050        5030          9
        6050        5074          9
        6050        5101         24
        6050        5115         71
        6050        5125         60
        6050        5137         10
        6050        5140         29
        6050        5158          9
        6050        5174         35
        6050        5183         31
        6050        5238         53
        6050        5279         28
        6050        5309         65
        6050        5334         45
        6050        6001         68
        6050        6029         31
        6050        6031         44
        6050        6041        332
        6050        6044        223
        6050        6045        169
        6050        6046         90
        6050        6048        454
        6050        6050        776
        6050        6052        309
        6050        6053         81
        6050        6054        630
        6050        6056        138
        6050        6057         25
        6050        6058        150
        6050        6059         30
        6050        6060        215
        6050        6061        410
        6050        6068          5
        6050        6069         20
        6050        6086          6
        6050        6088         17
        6050        6098         40
        6050        6099         84
        6050        6107         18
        6050        6112         40
        6050        6133         12
        6050        6141         19
        6050        6142        144
        6050        6145         30
        6050        6146         50
        6050        6147         16
        6050        6150         96
        6050        6154         83
        6050        6155         14
        6050        6158        131
        6050        6159         19
        6050        6160         11
        6050        6161         56
        6050        6162         43
        6050        6163         20
        6050        6164        266
        6050        6167         71
        6050        6169         29
        6050        6170         69
        6050        6175         81
        6050        6176         35
        6050        6179         15
        6050        6180          7
        6050        6182         34
        6050        6186         67
        6050        6188         16
        6050        6191        139
        6050        6192         33
        6050        6194        133
        6050        6196         40
        6050        6197        116
        6050        6198         17
        6050        6201         18
        6050        6209        247
        6050        6212        111
        6050        6216         35
        6050        6220         75
        6050        6222         10
        6050        6225         19
        6050        6233         21
        6050        6238         64
        6050        6239         46
        6050        6240         17
        6050        6243        179
        6050        6247         45
        6050        6255         27
        6050        6260          8
        6050        6265          6
        6050       11014         67
        6050       11217         11
        6050       11485          6
        6050       12003         22
        6050       12055        116
        6050       23001         18
        6050       23025         38
        6050       23029         12
        6050       23035         11
        6050       23038          9
        6050       23039         74
        6050       24002         18
        6050       98007         38
        6050       98008         27
        6050       99998         39
        6051        6007         38
        6051        6018         45
        6051        6021         21
        6051        6028         29
        6051        6031         28
        6051        6035          8
        6051        6038         25
        6051        6047         12
        6051        6051        210
        6051        6061         30
        6051        6110         28
        6051        6146         12
        6051        6190        105
        6051        6225          8
        6051       23034         20
        6052        1021         31
        6052        1055         18
        6052        1305         11
        6052        4408         15
        6052        4419         37
        6052        4511         71
        6052        4696         19
        6052        5084         16
        6052        5135         37
        6052        5309         25
        6052        5381         44
        6052        6001         18
        6052        6011         10
        6052        6028         16
        6052        6030         37
        6052        6031        104
        6052        6036         33
        6052        6041         91
        6052        6044        177
        6052        6045        133
        6052        6046        146
        6052        6048         20
        6052        6050        346
        6052        6052        294
        6052        6053         61
        6052        6054        195
        6052        6056         64
        6052        6057         43
        6052        6060          9
        6052        6068         48
        6052        6084         13
        6052        6088         11
        6052        6092         37
        6052        6123          9
        6052        6133         16
        6052        6145        174
        6052        6146         22
        6052        6150         31
        6052        6154          9
        6052        6158         17
        6052        6160         26
        6052        6161         44
        6052        6164         28
        6052        6166         74
        6052        6167         35
        6052        6170         51
        6052        6172         32
        6052        6178         11
        6052        6180          8
        6052        6190         57
        6052        6191         94
        6052        6192        153
        6052        6194         17
        6052        6196         29
        6052        6198          9
        6052        6199         49
        6052        6208          6
        6052        6209         57
        6052        6214         59
        6052        6216         18
        6052        6237          4
        6052        6238         21
        6052        6239        116
        6052        6240         13
        6052        6241         21
        6052        6243         10
        6052        6245         12
        6052        6247         11
        6052        6250          8
        6052        6264         17
        6052       11047         21
        6052       11084         10
        6052       12026         28
        6052       12338         23
        6052       13057         89
        6052       13093         20
        6052       23001         16
        6052       23003         12
        6052       98008          9
        6052       98009         13
        6053        1317         34
        6053        1446         15
        6053        5003         18
        6053        5081         19
        6053        5097         13
        6053        6001         18
        6053        6015         11
        6053        6028          9
        6053        6029         71
        6053        6030         39
        6053        6031          9
        6053        6033         13
        6053        6035         16
        6053        6036         20
        6053        6037         10
        6053        6038         10
        6053        6041        294
        6053        6042         21
        6053        6044        207
        6053        6045        170
        6053        6046         40
        6053        6047          5
        6053        6048         77
        6053        6050         53
        6053        6052         55
        6053        6053         39
        6053        6054        159
        6053        6056          9
        6053        6057         35
        6053        6058         11
        6053        6060         31
        6053        6071         20
        6053        6094         52
        6053        6099         20
        6053        6129         24
        6053        6142         71
        6053        6146         60
        6053        6161          8
        6053        6165         10
        6053        6167         12
        6053        6170         54
        6053        6175          9
        6053        6179         14
        6053        6191         40
        6053        6192        107
        6053        6194         30
        6053        6205         12
        6053        6208         36
        6053        6209         10
        6053        6215         48
        6053        6218         18
        6053        6222         10
        6053        6223         22
        6053        6225         13
        6053        6228          9
        6053        6229         24
        6053        6230         12
        6053        6231         18
        6053        6233         17
        6053        6243         53
        6053        6244         21
        6053       23003         22
        6053       23009         14
        6053       23012         23
        6053       23015        106
        6053       24002         10
        6054        5015         22
        6054        5115         10
        6054        6001         35
        6054        6002         23
        6054        6003         18
        6054        6004         25
        6054        6008         21
        6054        6012         35
        6054        6017         31
        6054        6018         39
        6054        6021         13
        6054        6028         42
        6054        6029        122
        6054        6030         22
        6054        6031        137
        6054        6036         37
        6054        6037         39
        6054        6041         50
        6054        6044        126
        6054        6045         60
        6054        6046         43
        6054        6047        183
        6054        6048        699
        6054        6049        106
        6054        6050        663
        6054        6052        208
        6054        6053        135
        6054        6054        992
        6054        6055        169
        6054        6056         55
        6054        6057        107
        6054        6058         30
        6054        6060        173
        6054        6061        278
        6054        6063         36
        6054        6065         13
        6054        6066        123
        6054        6068        129
        6054        6070         16
        6054        6079        114
        6054        6081         14
        6054        6087         20
        6054        6088        156
        6054        6097         15
        6054        6099         26
        6054        6104         28
        6054        6107        146
        6054        6110         37
        6054        6121         16
        6054        6142         11
        6054        6144         73
        6054        6145        162
        6054        6146         73
        6054        6147         42
        6054        6148        122
        6054        6149         95
        6054        6150        118
        6054        6151         40
        6054        6153         59
        6054        6154        220
        6054        6155        123
        6054        6158         13
        6054        6159         72
        6054        6160        192
        6054        6161         63
        6054        6162         42
        6054        6163        187
        6054        6164         51
        6054        6165        111
        6054        6167        493
        6054        6168         28
        6054        6170        339
        6054        6171        174
        6054        6172         29
        6054        6173         36
        6054        6174         41
        6054        6175        116
        6054        6176         23
        6054        6179         90
        6054        6180        357
        6054        6183         23
        6054        6187         85
        6054        6190         13
        6054        6191        435
        6054        6192        179
        6054        6195         34
        6054        6196        109
        6054        6200         36
        6054        6202         36
        6054        6204        103
        6054        6207         10
        6054        6208        190
        6054        6209         10
        6054        6212         20
        6054        6214         46
        6054        6216        117
        6054        6220         21
        6054        6221         13
        6054        6224         58
        6054        6228         57
        6054        6230          6
        6054        6233        244
        6054        6237         15
        6054        6241        104
        6054        6243        117
        6054        6245        131
        6054        6246          9
        6054        6247          9
        6054        6250         44
        6054        6254         73
        6054        6256         27
        6054        6258         17
        6054       23012         16
        6054       24002         12
        6054       99998         45
        6055        1241         15
        6055        5143          4
        6055        6024         62
        6055        6030         43
        6055        6031         77
        6055        6038         15
        6055        6041         21
        6055        6044         38
        6055        6045         15
        6055        6054        117
        6055        6056         20
        6055        6058         33
        6055        6061        345
        6055        6099         43
        6055        6104         30
        6055        6142         23
        6055        6144          9
        6055        6151        159
        6055        6154         45
        6055        6161         70
        6055        6166        145
        6055        6169         10
        6055        6170        133
        6055        6180         49
        6055        6190         62
        6055        6191        188
        6055        6195          6
        6055        6200         18
        6055        6213         16
        6055        6215        175
        6055        6216         23
        6055        6225         14
        6055        6235         34
        6055        6239         23
        6055        6243        136
        6055        6250         18
        6055       98007        100
        6056        1378         20
        6056        3043         10
        6056        4660         11
        6056        5011          7
        6056        5042         29
        6056        5183         11
        6056        5200          7
        6056        6001         20
        6056        6003         21
        6056        6018         34
        6056        6029         21
        6056        6030         22
        6056        6031        159
        6056        6038         30
        6056        6041         28
        6056        6044        132
        6056        6045         69
        6056        6046         29
        6056        6050        138
        6056        6052        108
        6056        6053         19
        6056        6054        144
        6056        6055         20
        6056        6056        103
        6056        6057         42
        6056        6103         45
        6056        6108         16
        6056        6122         41
        6056        6142         14
        6056        6148         10
        6056        6150         10
        6056        6152         29
        6056        6154         59
        6056        6171         15
        6056        6174          7
        6056        6176         20
        6056        6179         15
        6056        6190         33
        6056        6192         44
        6056        6193         14
        6056        6194        239
        6056        6196         79
        6056        6198         18
        6056        6201         83
        6056        6208          7
        6056        6216         19
        6056        6227         55
        6056        6228         14
        6056        6239         22
        6056        6241         72
        6056        6243         19
        6056        6245         15
        6056       14013         10
        6056       23047          9
        6056       98008         28
        6056       99998         59
        6057        1067         10
        6057        5070         21
        6057        5139         12
        6057        5151         15
        6057        5183         26
        6057        6001         42
        6057        6004          9
        6057        6005         15
        6057        6017         11
        6057        6018         78
        6057        6030         20
        6057        6031        201
        6057        6032         34
        6057        6036         18
        6057        6038         16
        6057        6041        125
        6057        6044        114
        6057        6045        129
        6057        6046        154
        6057        6047         10
        6057        6048         69
        6057        6049         17
        6057        6050         25
        6057        6051         29
        6057        6052         23
        6057        6053         25
        6057        6054        103
        6057        6056         35
        6057        6057        148
        6057        6060        122
        6057        6062         20
        6057        6088         15
        6057        6123         16
        6057        6150         17
        6057        6154         28
        6057        6156         13
        6057        6159         19
        6057        6160        109
        6057        6167         59
        6057        6172         37
        6057        6175          6
        6057        6179         11
        6057        6190         30
        6057        6191          3
        6057        6192          5
        6057        6193         41
        6057        6208         10
        6057        6213          8
        6057        6214          5
        6057        6215          7
        6057        6216         19
        6057        6220         14
        6057        6222         26
        6057        6228         18
        6057        6230         15
        6057        6237         10
        6057        6240         19
        6057        6243         21
        6057        6246          4
        6057        6248        246
        6057        6254         18
        6057        6263         29
        6057        6264         36
        6057       11005         15
        6057       23009         13
        6057       23037         21
        6057       98008         11
        6058        6042         24
        6058        6050        163
        6058        6053         11
        6058        6087         51
        6058        6088         31
        6058        6104         52
        6058        6146          8
        6058        6150         26
        6058        6175          3
        6058        6183         11
        6058        6186         11
        6058        6190         33
        6058        6228         15
        6058        6229         13
        6058        6246         70
        6059        6041         93
        6059        6047         37
        6059        6048         60
        6059        6146         45
        6059        6150         64
        6059        6154        139
        6059        6163        417
        6059        6169         30
        6059        6191         62
        6060        5005         21
        6060        5024         11
        6060        5049         14
        6060        5062         21
        6060        5130         21
        6060        5219         31
        6060        5294         40
        6060        5309         21
        6060        6001         35
        6060        6004         20
        6060        6017         28
        6060        6020         26
        6060        6032         21
        6060        6041        158
        6060        6044         50
        6060        6045         35
        6060        6048         21
        6060        6050        215
        6060        6052          9
        6060        6053         10
        6060        6054        185
        6060        6057        122
        6060        6061         35
        6060        6130        105
        6060        6154         67
        6060        6162          9
        6060        6170         23
        6060        6180         16
        6060        6191         26
        6060        6192          9
        6060        6194         23
        6060        6215         10
        6060        6225         26
        6060        6231         24
        6060        6233         23
        6060        6239         26
        6060        6241         22
        6060        6243        103
        6060        6244         23
        6060        6246         32
        6060        6247         35
        6060        6249         10
        6060        6260         26
        6060        6262          9
        6060       11093         20
        6060       11138         21
        6060       12198         26
        6060       23002         10
        6060       98007         61
        6061        1063         26
        6061        4396         14
        6061        4511         58
        6061        5108         27
        6061        5116         10
        6061        5124         15
        6061        5148         17
        6061        5259         25
        6061        6020         28
        6061        6030         19
        6061        6031          8
        6061        6039         13
        6061        6040         52
        6061        6041        257
        6061        6042         81
        6061        6044        349
        6061        6045        212
        6061        6046        150
        6061        6047         65
        6061        6048         58
        6061        6050        451
        6061        6051         30
        6061        6052         19
        6061        6054        240
        6061        6055        345
        6061        6060         35
        6061        6061         87
        6061        6070         16
        6061        6088         20
        6061        6091         13
        6061        6132         19
        6061        6142        122
        6061        6143         62
        6061        6144         17
        6061        6145         37
        6061        6146         38
        6061        6148         56
        6061        6154        265
        6061        6157         31
        6061        6163         17
        6061        6169         27
        6061        6170         83
        6061        6189         10
        6061        6191         53
        6061        6192          7
        6061        6194         52
        6061        6198         19
        6061        6205         30
        6061        6208         25
        6061        6209         72
        6061        6222         56
        6061        6225         32
        6061        6231         27
        6061        6232         61
        6061        6239         39
        6061        6243        318
        6061        6250         25
        6061        6256         43
        6061       11485         11
        6061       12337         38
        6061       13072         11
        6061       23016         13
        6061       23029         29
        6061       23043         40
        6061       24008          8
        6061       98008         30
        6062        4365         17
        6062        5174         37
        6062        5419         20
        6062        6029         64
        6062        6057         20
        6062        6067         19
        6062        6088          3
        6062        6089         48
        6062        6091         68
        6062        6099         48
        6062        6104         66
        6062        6108         17
        6062        6112         12
        6062        6125         37
        6062        6144         28
        6062        6146         22
        6062        6150         25
        6062        6161         10
        6062        6162         37
        6062        6165         20
        6062        6172         23
        6062        6218         15
        6062        6226         56
        6062        6230         12
        6062        6254          9
        6062        6263         37
        6062       23031         24
        6062       24008          3
        6063        3327         22
        6063        6039         36
        6063        6043         13
        6063        6063          5
        6063        6066        326
        6063        6068         11
        6063        6072         17
        6063        6093         12
        6063        6099         17
        6063        6104         38
        6063        6107         73
        6063        6120         26
        6063        6123         10
        6063        6128         65
        6063        6191         10
        6063        6192          5
        6063        6195         13
        6063        6199          5
        6063        6241         36
        6063       11279         10
        6063       11478         17
        6063       12013         10
        6063       23029         63
        6063       99998          5
        6064        6004         16
        6064        6070         13
        6064        6071          8
        6064        6088          8
        6064        6089         48
        6064        6099         29
        6064        6101          7
        6064        6104         29
        6064        6119          9
        6064        6127         14
        6064        6130         18
        6064        6145         19
        6064        6215        125
        6064        6235         21
        6064       11485          8
        6065        6019         17
        6065        6054         13
        6065        6068         40
        6065        6088          7
        6065        6125         15
        6065        6146         24
        6065        6155         13
        6065        6160         39
        6065        6172          7
        6065        6174         23
        6065        6179         17
        6065        6242         17
        6065        6243         17
        6065        6255         79
        6066        1055        104
        6066        1232         12
        6066        4375         51
        6066        4503         12
        6066        4621         12
        6066        4651         15
        6066        5034         53
        6066        5040         15
        6066        5074         29
        6066        5365         21
        6066        6001         74
        6066        6015        123
        6066        6032         46
        6066        6063        265
        6066        6064          7
        6066        6066        971
        6066        6068        239
        6066        6070        228
        6066        6075         12
        6066        6076          8
        6066        6081        131
        6066        6091        752
        6066        6092        227
        6066        6099         47
        6066        6100        292
        6066        6103         25
        6066        6104        202
        6066        6105          8
        6066        6107         16
        6066        6108        354
        6066        6109          8
        6066        6121         76
        6066        6130        131
        6066        6137         25
        6066        6139        257
        6066        6140         35
        6066        6141         80
        6066        6142        168
        6066        6146         69
        6066        6147         51
        6066        6148         18
        6066        6149         80
        6066        6151         25
        6066        6154         39
        6066        6158         50
        6066        6161        122
        6066        6169         46
        6066        6173         56
        6066        6181         33
        6066        6191         41
        6066        6192        123
        6066        6197         56
        6066        6202         18
        6066        6209         75
        6066        6220         14
        6066        6221        255
        6066        6224          4
        6066        6225         35
        6066        6231        147
        6066        6232         56
        6066        6243         12
        6066        6244          5
        6066        6254          9
        6066       11007         16
        6066       11015         14
        6066       11037         33
        6066       11084         35
        6066       11246         56
        6066       12113        103
        6066       12357         12
        6066       23012         21
        6066       98008        111
        6066       99998         21
        6067        5137         19
        6067        6066         69
        6067        6184         19
        6067        6243         17
        6068        5025         46
        6068        6050          5
        6068        6052         48
        6068        6062         14
        6068        6063         28
        6068        6065         40
        6068        6066        233
        6068        6068        110
        6068        6070        450
        6068        6071        143
        6068        6074         93
        6068        6079         72
        6068        6090         24
        6068        6091         38
        6068        6100         16
        6068        6103        121
        6068        6104        215
        6068        6106         27
        6068        6110         22
        6068        6115         49
        6068        6135         48
        6068        6143         54
        6068        6145         26
        6068        6146         26
        6068        6150         17
        6068        6151         25
        6068        6153         17
        6068        6175         53
        6068        6176         16
        6068        6190         18
        6068        6249         68
        6068        6256        129
        6068        6258         16
        6068        6261          4
        6068       11041         26
        6068       11190         44
        6068       11482         27
        6068       98008        103
        6069        5005         58
        6069        5202          5
        6069        6014         15
        6069        6031         23
        6069        6041          8
        6069        6044         26
        6069        6046          6
        6069        6047          8
        6069        6079         64
        6069        6107         17
        6069        6150          8
        6069        6156         33
        6069        6160          5
        6069        6180        115
        6069        6193         61
        6069        6196          7
        6069        6231         23
        6069        6246         27
        6069       11495         64
        6069       23024         23
        6070        4151         39
        6070        5005        197
        6070        5055         65
        6070        5063         19
        6070        5093         18
        6070        5101          8
        6070        5152         22
        6070        5293         48
        6070        5294         56
        6070        5300         81
        6070        5322         32
        6070        6004         16
        6070        6044         16
        6070        6054         28
        6070        6064         13
        6070        6066        277
        6070        6068        382
        6070        6070        352
        6070        6071         89
        6070        6073         32
        6070        6088          6
        6070        6091         15
        6070        6099         16
        6070        6100         22
        6070        6102         12
        6070        6103         13
        6070        6104         46
        6070        6106         71
        6070        6108        185
        6070        6110         53
        6070        6114         11
        6070        6115         53
        6070        6121         45
        6070        6125         39
        6070        6128         30
        6070        6130        131
        6070        6143         13
        6070        6144         31
        6070        6152         67
        6070        6153          8
        6070        6157         66
        6070        6161        111
        6070        6166          8
        6070        6170         37
        6070        6171         21
        6070        6172         15
        6070        6173         19
        6070        6176         89
        6070        6180          8
        6070        6188         13
        6070        6190        145
        6070        6191         40
        6070        6198         37
        6070        6208         90
        6070        6209         54
        6070        6261          8
        6070       11010         20
        6070       11094         61
        6070       11174         14
        6070       11496         66
        6070       24009         40
        6070       98008         52
        6071        1268        114
        6071        6053         20
        6071        6064          8
        6071        6068        143
        6071        6070         89
        6071        6091        228
        6071        6107         19
        6071        6139        286
        6071        6142        314
        6071        6152        158
        6071        6180          8
        6071        6255         25
        6071        6259         10
        6071        6264        143
        6072        5108         53
        6072        6066         17
        6072        6105         53
        6072        6129         15
        6072        6133         18
        6072        6183         53
        6072        6190         18
        6072        6194         53
        6072        6233         53
        6073        6082         82
        6073        6107         63
        6073        6109         12
        6073        6110         10
        6073        6117          9
        6073        6129         65
        6073        6139         32
        6073        6145          9
        6073        6162         15
        6073        6176         16
        6073        6188         82
        6073        6190         19
        6073        6195          9
        6073        6255         30
        6074        6068        139
        6074        6123          5
        6074        6137         11
        6074        6143         14
        6074        6147         14
        6074        6161         29
        6074        6176         14
        6074        6195         92
        6074        6199         15
        6074        6226          9
        6074       98008         16
        6075        5092         38
        6075        6066         12
        6075        6068         16
        6075        6075         16
        6075        6104         38
        6075        6115          7
        6075        6164         49
        6075        6168         26
        6075        6187         16
        6076        6066          8
        6076        6091         17
        6076        6110          8
        6076        6141         10
        6076        6148         10
        6076        6259         34
        6077        5032         10
        6077        6042         15
        6077        6077         21
        6077        6088         12
        6077        6095         12
        6077        6149          8
        6077        6150        208
        6077        6180         14
        6077        6191         95
        6077        6192         95
        6077        6204          5
        6077        6216          9
        6077        6225         24
        6077        6227         23
        6077        6247         30
        6077       23029         35
        6078        6149         20
        6079        4284         36
        6079        5014         36
        6079        5105         44
        6079        5117         42
        6079        5198          8
        6079        5286         84
        6079        5343          6
        6079        5451         15
        6079        6011          3
        6079        6041          8
        6079        6045          5
        6079        6054        114
        6079        6056         22
        6079        6068         72
        6079        6099        350
        6079        6100         53
        6079        6108         44
        6079        6131         28
        6079        6136         15
        6079        6142         26
        6079        6146         14
        6079        6148         21
        6079        6150        228
        6079        6157         25
        6079        6160         29
        6079        6170        228
        6079        6171         51
        6079        6183         36
        6079        6190         26
        6079        6192          7
        6079        6195         20
        6079        6196         36
        6079        6203         57
        6079        6224         26
        6079        6238         36
        6079        6241         15
        6079        6243         10
        6079        6265         10
        6079       11016         26
        6079       98008         85
        6079       99998         18
        6081        6031         22
        6081        6036         17
        6081        6054        136
        6081        6066          8
        6081        6081         33
        6081        6110         50
        6081        6120         22
        6081        6125         39
        6081        6143         17
        6081        6154         14
        6081        6172         26
        6081        6185         21
        6081        6188         37
        6081        6220        290
        6081        6245         14
        6081        6247         57
        6082        6073         41
        6082        6104        117
        6082        6117         41
        6082        6179        105
        6082        6192         94
        6082        6221         16
        6082        6240         41
        6083        6062         15
        6083        6214         70
        6083        6235         37
        6083        6263         72
        6084        1439         26
        6084        6018         10
        6084        6044         69
        6084        6052         13
        6084        6107         13
        6084        6142         13
        6084        6148         13
        6084        6151         69
        6084        6154         13
        6084        6166         45
        6084        6167         45
        6084        6172         60
        6084        6196          8
        6084        6197         22
        6085        6144         40
        6085        6145         16
        6085        6259         16
        6086        6050          6
        6086        6196         12
        6086        6211         48
        6086       12335         53
        6087        4396         18
        6087        4416         16
        6087        5047         17
        6087        5250         11
        6087        6014         17
        6087        6019         14
        6087        6055         33
        6087        6058         33
        6087        6074         20
        6087        6088         20
        6087        6091         14
        6087        6099         13
        6087        6113         18
